Class;Code;TimeStamp;Decription;CodeExtension;SerialNumber
Operating code;60.170.000;04.04.2024 07:48;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000059 PR00 #1#3#351000c9#2#300#6.000000#201d#8#400#1#1#300#15.000000#201d#7#400#1#5#Therapy setting Flow changed from 6.00l/min to 15.00l/min;
Operating code;60.170.014;04.04.2024 07:57;Handradstellung von Vapor 3000 verändert;S2 P1 C00000085 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.000000#201a#8#25d0040b#2#1#25d00308#0.000000#201a#7#25d0040b#3#5#Vapor View slot 1 (Sev): Changed from 0.0 to ---;
Operating code;60.170.014;04.04.2024 07:57;Handradstellung von Vapor 3000 verändert;S2 P1 C00000086 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.000000#201a#8#25d0040b#3#1#25d00308#1.812000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from --- to 1.8;
Operating code;60.170.014;04.04.2024 07:57;Handradstellung von Vapor 3000 verändert;S2 P1 C00000087 PR00 #1#3#0#7#25d00405#5#2#25d00308#1.812000#201a#8#25d0040b#4#1#25d00308#3.562000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 1.8 to 3.6;
Operating code;60.170.000;04.04.2024 07:58;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000101 PR00 #1#3#351000c9#2#300#3.000000#201d#8#400#1#1#300#0.200000#201d#7#400#1#5#Therapy setting Flow changed from 3.00l/min to 0.20l/min;
Operating code;60.170.014;04.04.2024 08:07;Handradstellung von Vapor 3000 verändert;S2 P1 C00000111 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.562000#201a#8#25d0040b#4#1#25d00308#8.002000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.6 to 8.0;
Operating code;60.170.014;04.04.2024 08:21;Handradstellung von Vapor 3000 verändert;S2 P1 C00000158 PR00 #1#3#0#7#25d00405#5#2#25d00308#8.002000#201a#8#25d0040b#4#1#25d00308#5.192000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 8.0 to 5.2;
Operating code;60.170.014;04.04.2024 08:21;Handradstellung von Vapor 3000 verändert;S2 P1 C00000159 PR00 #1#3#0#7#25d00405#5#2#25d00308#5.192000#201a#8#25d0040b#4#1#25d00308#5.042000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 5.2 to 5.0;
Operating code;60.170.000;04.04.2024 08:22;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000162 PR00 #1#3#351000c9#2#300#0.200000#201d#8#400#1#1#300#0.300000#201d#7#400#1#5#Therapy setting Flow changed from 0.20l/min to 0.30l/min;
Operating code;60.170.014;04.04.2024 08:30;Handradstellung von Vapor 3000 verändert;S2 P1 C00000165 PR00 #1#3#0#7#25d00405#5#2#25d00308#5.042000#201a#8#25d0040b#4#1#25d00308#3.832000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 5.0 to 3.8;
