Class;Code;TimeStamp;Decription;CodeExtension;SerialNumber
Operating code;60.170.000;03.04.2024 11:10;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000223 PR00 #1#3#351000c9#2#300#6.000000#201d#8#400#1#1#300#8.000000#201d#7#400#1#5#Therapy setting Flow changed from 6.00l/min to 8.00l/min;
Operating code;60.170.000;03.04.2024 11:20;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000258 PR00 #1#3#351000c9#2#300#8.000000#201d#8#400#1#1#300#0.200000#201d#7#400#1#5#Therapy setting Flow changed from 8.00l/min to 0.20l/min;
Operating code;60.170.014;03.04.2024 11:20;Handradstellung von Vapor 3000 verändert;S2 P1 C00000259 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.000000#201a#8#25d0040b#2#1#25d00308#0.892000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 0.0 to 0.9;
Operating code;60.170.014;03.04.2024 11:20;Handradstellung von Vapor 3000 verändert;S2 P1 C00000260 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.892000#201a#8#25d0040b#4#1#25d00308#8.002000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 0.9 to 8.0;
Operating code;60.170.014;03.04.2024 11:33;Handradstellung von Vapor 3000 verändert;S2 P1 C00000267 PR00 #1#3#0#7#25d00405#5#2#25d00308#8.002000#201a#8#25d0040b#4#1#25d00308#6.702000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 8.0 to 6.7;
Operating code;60.170.014;03.04.2024 11:34;Handradstellung von Vapor 3000 verändert;S2 P1 C00000268 PR00 #1#3#0#7#25d00405#5#2#25d00308#6.702000#201a#8#25d0040b#4#1#25d00308#5.042000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 6.7 to 5.0;
Operating code;60.170.014;03.04.2024 11:36;Handradstellung von Vapor 3000 verändert;S2 P1 C00000270 PR00 #1#3#0#7#25d00405#5#2#25d00308#5.042000#201a#8#25d0040b#4#1#25d00308#4.242000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 5.0 to 4.2;
Operating code;60.170.014;03.04.2024 11:36;Handradstellung von Vapor 3000 verändert;S2 P1 C00000271 PR00 #1#3#0#7#25d00405#5#2#25d00308#4.242000#201a#8#25d0040b#4#1#25d00308#3.562000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 4.2 to 3.6;
Operating code;60.170.000;03.04.2024 11:42;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000278 PR00 #1#3#351000c9#2#300#0.200000#201d#8#400#1#1#300#0.300000#201d#7#400#1#5#Therapy setting Flow changed from 0.20l/min to 0.30l/min;
Operating code;60.170.014;03.04.2024 11:42;Handradstellung von Vapor 3000 verändert;S2 P1 C00000279 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.562000#201a#8#25d0040b#4#1#25d00308#4.062000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.6 to 4.1;
Operating code;60.170.014;03.04.2024 11:53;Handradstellung von Vapor 3000 verändert;S2 P1 C00000285 PR00 #1#3#0#7#25d00405#5#2#25d00308#4.062000#201a#8#25d0040b#4#1#25d00308#2.572000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 4.1 to 2.6;
Operating code;60.170.014;03.04.2024 11:54;Handradstellung von Vapor 3000 verändert;S2 P1 C00000286 PR00 #1#3#0#7#25d00405#5#2#25d00308#2.572000#201a#8#25d0040b#4#1#25d00308#1.492000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 2.6 to 1.5;
