Geräte_Produkt;Geräte_Standort;Geräte_Seriennummer;Geräte_Gerätenummer;Fälle_Gesamt;Fälle_Inhalativ;Fälle_Durchschnittl. Dauer [min];Durchschnittl. Kosten_Pro Fall [EUR];Durchschnittl. Kosten_Pro Minute [EUR];Durchschnittl. FG-Flow pro Fall [L/min]_Gesamt;Durchschnittl. FG-Flow pro Fall [L/min]_O2;Durchschnittl. FG-Flow pro Fall [L/min]_N2O;Durchschnittl. FG-Flow pro Fall [L/min]_Air;Durchschnittl. Verbrauch pro Fall (mL)_Gesamt;Durchschnittl. Verbrauch pro Fall (mL)_Iso;Durchschnittl. Verbrauch pro Fall (mL)_Des;Durchschnittl. Verbrauch pro Fall (mL)_Sev;Durchschnittl. Uptake pro Fall [mL]_Gesamt;Durchschnittl. Uptake pro Fall [mL]_Iso;Durchschnittl. Uptake pro Fall [mL]_Des;Durchschnittl. Uptake pro Fall [mL]_Sev;Durchschnittl. Effizienz pro Fall [%]_Gesamt;Durchschnittl. Effizienz pro Fall [%]_Iso;Durchschnittl. Effizienz pro Fall [%]_Des;Durchschnittl. Effizienz pro Fall [%]_Sev;CO2-Äquivalent gesamt [kg]_Gesamt;CO2-Äquivalent gesamt [kg]_Iso;CO2-Äquivalent gesamt [kg]_Des;CO2-Äquivalent gesamt [kg]_Sev
Gesamt;;;;319;224;92;11,73;0,11;2,21;2,01;;0,19;19,55;;;19,55;13,59;;;13,59;67,70;;;67,70;0,87;;;0,87
A500;;ASDD-0018;;131;73;59;10,00;0,16;3,40;3,06;;0,35;16,66;;;16,66;6,24;;;6,24;37,46;;;37,46;0,24;;;0,24
A500;;ASDD-0010;;67;52;161;17,69;0,10;1,48;1,37;;0,11;29,48;;;29,48;23,52;;;23,52;79,79;;;79,79;0,30;;;0,30
A500;;ASDB-0026;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0019;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0007;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0029;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0027;null;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0016;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0006;null;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0013;;111;94;92;10,12;0,09;1,97;1,82;;0,15;16,87;;;16,87;14,19;;;14,19;84,12;;;84,12;0,31;;;0,31
A500;;ASDD-0020;null;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0023;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0025;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0003;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0008;null;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0014;;10;5;70;5,27;0,06;3,47;3,09;;0,39;8,79;;;8,79;6,57;;;6,57;74,73;;;74,73;0,01;;;0,01
A500;;ASDD-0022;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0009;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0028;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0021;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0004;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0012;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0011;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0024;;;;0;;;;;;;;;;;;;;;;;;;;;;
Perseus A500;;ASDB-0023;;;;0;;;;;;;;;;;;;;;;;;;;;;
